province_name,district_name,prov_norm,dist_norm,treecover_pct,model_potential_treecover_pct,treecover_gap_pct,area_ha,trees_needed
Adana,Aladağ,adana,aladağ,54.58,57.87245843407344,3.2924584340734384,195789.5632068124,3223145
Adana,Ceyhan,adana,ceyhan,0.05,7.380320000000007,7.3303200000000075,150936.1797431889,5532052
Adana,Feke,adana,feke,15.07,15.349908377132149,0.27990837713214844,150492.04908882373,210620
Adana,Karaisali,adana,karaisali,8.33,8.44664642857143,0.11664642857143015,173589.72580758814,101243
Adana,Karataş,adana,karataş,0.0,0.24789236111111393,0.24789236111111393,45217.64695643343,56046
Adana,Kozan,adana,kozan,0.59,7.1142077777777954,6.524207777777796,222903.71273500333,7271351
Adana,Pozantı,adana,pozantı,4.73,6.217662777777778,1.4876627777777776,118910.85322397648,884496
Adana,Saimbeyli,adana,saimbeyli,43.16,47.62915573245923,4.469155732459235,118762.75371163242,2653846
Adana,Seyhan,adana,seyhan,0.0,7.360610277777785,7.360610277777785,62156.697569987846,2287556
Adana,Tufanbeyli,adana,tufanbeyli,0.0,6.831467361111112,6.831467361111112,115785.65268701733,3954930
Adana,Yumurtalık,adana,yumurtalık,0.23,0.37795833333333695,0.14795833333333694,47221.10837958876,34934
Adana,Yüreğir,adana,yüreğir,0.0,7.373106111111118,7.373106111111118,151719.8479599339,5593233
Adana,İmamoğlu,adana,i̇mamoğlu,0.0,7.066822361111123,7.066822361111123,30007.531483566858,1060289
Adiyaman,Besni,adiyaman,besni,0.0,6.376118749999991,6.376118749999991,88983.42977402594,2836845
Adiyaman,Gerger,adiyaman,gerger,0.0,17.189992500000024,17.189992500000024,83669.96604521708,7191430
Adiyaman,Gölbaşı,adiyaman,gölbaşı,0.0,6.427074722222212,6.427074722222212,67837.10382249301,2179971
Adiyaman,Kahta,adiyaman,kahta,0.0,17.178989722222244,17.178989722222244,131711.19483881583,11313326
Adiyaman,Merkez,adiyaman,merkez,0.0,6.368113194444435,6.368113194444435,159282.32284947074,5071639
Adiyaman,Samsat,adiyaman,samsat,0.0,6.409143472222224,6.409143472222224,30266.653493193393,969917
Adiyaman,Sincik,adiyaman,sincik,0.23,17.18430638888891,16.95430638888891,66507.61844629227,5637953
Adiyaman,Tut,adiyaman,tut,0.07,6.258428888888881,6.188428888888881,49739.130666295925,1539035
Adiyaman,Çelikhan,adiyaman,çelikhan,0.0,6.24441777777777,6.24441777777777,64056.28130491593,1999971
Afyon,Bayat,afyon,bayat,0.0,7.383173194444463,7.383173194444463,66936.72948915382,2471027
Afyon,Başmakçı,afyon,başmakçı,0.56,14.461412361111112,13.901412361111111,55308.379942574895,3844323
Afyon,Bolvadin,afyon,bolvadin,0.0,6.985449305555554,6.985449305555554,115574.3652209512,4036694
Afyon,Dazkırı,afyon,dazkırı,0.0,14.461412361111112,14.461412361111112,35705.82673022259,2581783
Afyon,Dinar,afyon,dinar,0.0,14.460920694444445,14.460920694444445,136520.51743499516,9871062
Afyon,Emirdağ,afyon,emirdağ,0.0,6.983560416666666,6.983560416666666,188634.61500407933,6586706
Afyon,Evciler,afyon,evciler,0.0,14.460920694444445,14.460920694444445,14560.169107950547,1052767
Afyon,Hocalar,afyon,hocalar,0.0,6.316436527777772,6.316436527777772,64093.034194646534,2024198
Afyon,Kızılören,afyon,kızılören,0.0,6.325562222222215,6.325562222222215,23946.706275342964,757382
Afyon,Merkez,afyon,merkez,0.0,7.388602361111131,7.388602361111131,103336.41639424811,3817558
Afyon,Sandıklı,afyon,sandıklı,0.0,6.318744166666661,6.318744166666661,120146.15165371976,3795864
Afyon,Sincanlı,afyon,sincanlı,0.75,6.321434444444437,5.571434444444437,85871.15077999355,2392127
Afyon,Sultandağı,afyon,sultandağı,0.0,7.759891111111112,7.759891111111112,82917.71758416716,3217162
Afyon,Çay,afyon,çay,0.0,7.765859166666667,7.765859166666667,85067.37198247424,3303106
Afyon,Çobanlar,afyon,çobanlar,0.0,6.9625187499999885,6.9625187499999885,38751.81958178475,1349051
Afyon,İhsaniye,afyon,i̇hsaniye,0.0,7.387723888888908,7.387723888888908,85733.07512367229,3166861
Afyon,İscehisar,afyon,i̇scehisar,0.0,7.385238472222242,7.385238472222242,51661.82910106873,1907675
Afyon,Şuhut,afyon,şuhut,0.0,6.965213194444435,6.965213194444435,119978.43452880163,4178377
Agri,Diyadin,agri,diyadin,0.0,11.85816333333337,11.85816333333337,108475.42548679959,6431597
Agri,Doğubeyazıt,agri,doğubeyazıt,0.0,11.857002222222258,11.857002222222258,234592.3682894445,13907811
Agri,Eleşkirt,agri,eleşkirt,0.0,6.964657500000012,6.964657500000012,132316.72755279994,4607703
Agri,Hamur,agri,hamur,0.0,22.591402361111165,22.591402361111165,83233.045568013,9401756
Agri,Merkez,agri,merkez,0.0,13.118984166666717,13.118984166666717,132826.5021681392,8712744
Agri,Patnos,agri,patnos,0.0,6.113251388888888,6.113251388888888,112294.79935635405,3432432
Agri,Taşlıçay,agri,taşlıçay,0.0,22.610641250000057,22.610641250000057,73158.53092150147,8270806
Agri,Tutak,agri,tutak,1.37,16.034889861111143,14.664889861111142,153137.52123034894,11228724
Aksaray,Ağaçören,aksaray,ağaçören,0.0,23.645641944444474,23.645641944444474,67941.82080203589,8032640
Aksaray,Eskil,aksaray,eskil,0.0,6.487663750000001,6.487663750000001,130312.93818760967,4227133
Aksaray,Gülağaç,aksaray,gülağaç,0.0,7.2851138888889,7.2851138888889,16279.235308483603,592980
Aksaray,Güzelyurt,aksaray,güzelyurt,0.0,6.711403055555554,6.711403055555554,15025.592325313573,504214
