province_name,district_name,lat,lon,avg_temp,avg_rain,treecover_pct,potential_treecover_pct,missing_treecover_pct,model_potential_treecover_pct,model_missing_treecover_pct
Adana,Aladağ,37.66664161425269,35.387781159274844,16.739615384615384,0.0,54.58,10,0.0,44.54330607142853,0.0
Adana,Ceyhan,37.01188762408269,35.768197774868256,19.804076923076924,0.0,0.05,10,9.95,27.848536666666654,27.798536666666653
Adana,Feke,37.87149501654729,35.82175412166473,10.716615384615384,0.0,15.07,10,0.0,30.32220999999997,15.25220999999997
Adana,Karaisali,37.25914702378393,35.14288805669741,12.239538461538462,0.0,8.33,10,1.67,16.481983333333297,8.151983333333296
Adana,Karataş,36.6759794496345,35.229132124491095,21.450076923076924,0.0,0.0,5,5.0,3.2659052380952405,3.2659052380952405
Adana,Kozan,37.53681464962676,35.840943226510305,16.739615384615384,0.0,0.59,10,9.41,44.54330607142853,43.95330607142853
Adana,Pozantı,37.54648277891881,34.98430156975578,12.239538461538462,0.0,4.73,10,5.27,16.481983333333297,11.751983333333296
Adana,Saimbeyli,37.98900752876872,36.13436444012252,10.406,0.0,43.16,10,0.0,38.91840083333323,0.0
Adana,Seyhan,36.91276285694181,35.17898024007434,19.747307692307693,0.0,0.0,10,10.0,28.149286666666658,28.149286666666658
Adana,Tufanbeyli,38.27092830135996,36.2612424860836,8.506923076923076,0.0,0.0,10,10.0,45.19624642857144,45.19624642857144
Adana,Yumurtalık,36.710570748576025,35.61362903076997,21.224,0.0,0.23,5,4.77,3.3579052380952445,3.1279052380952446
Adana,Yüreğir,36.9702209447011,35.42196564547398,19.804076923076924,0.0,0.0,10,10.0,27.848536666666654,27.848536666666654
Adana,İmamoğlu,37.259450755722085,35.60816661152585,16.739615384615384,0.0,0.0,10,10.0,44.54330607142853,44.54330607142853
Adiyaman,Besni,37.58098423464698,37.9021105320502,17.38576923076923,0.0,0.0,10,10.0,20.523299999999978,20.523299999999978
Adiyaman,Gerger,38.02434275066536,38.99318871698758,13.909692307692309,0.0,0.0,10,10.0,67.94089933261185,67.94089933261185
Adiyaman,Gölbaşı,37.69827262449037,37.59807051058772,15.63653846153846,0.0,0.0,10,10.0,30.05289285714291,30.05289285714291
Adiyaman,Kahta,37.79951359683125,38.694339858723005,13.909692307692309,0.0,0.0,10,10.0,67.94089933261185,67.94089933261185
Adiyaman,Merkez,37.70841704317855,38.261284947937625,17.38576923076923,0.0,0.0,10,10.0,20.523299999999978,20.523299999999978
Adiyaman,Samsat,37.56570577274376,38.49118352181627,17.808384615384618,0.0,0.0,10,10.0,32.5278125,32.5278125
Adiyaman,Sincik,38.040170204711785,38.55041496078256,13.909692307692309,0.0,0.23,10,9.77,67.94089933261185,67.71089933261185
Adiyaman,Tut,37.79475172793583,37.9227827564413,11.455461538461538,0.0,0.07,10,9.93,23.46019261904763,23.390192619047628
Adiyaman,Çelikhan,38.05858677551078,38.32101454195479,11.455461538461538,0.0,0.0,10,10.0,23.46019261904763,23.46019261904763
Afyon,Bayat,39.025107370010666,30.925424100508373,10.588384615384616,0.0,0.0,10,10.0,41.4616528174603,41.4616528174603
Afyon,Başmakçı,37.867487273557046,30.009480465472784,13.137692307692308,0.0,0.56,10,9.44,60.45868694444426,59.89868694444426
Afyon,Bolvadin,38.77491246418936,31.219356309714343,11.632307692307691,0.0,0.0,10,10.0,47.505949999999984,47.505949999999984
Afyon,Dazkırı,37.91931503587757,29.78324080300375,13.137692307692308,0.0,0.0,10,10.0,60.45868694444426,60.45868694444426
Afyon,Dinar,38.13963427758678,30.25053730612807,13.137692307692308,0.0,0.0,10,10.0,60.45868694444426,60.45868694444426
Afyon,Emirdağ,39.02826857126863,31.340214629467827,11.632307692307691,0.0,0.0,10,10.0,47.505949999999984,47.505949999999984
Afyon,Evciler,38.03260230243983,29.87117521274364,13.137692307692308,0.0,0.0,10,10.0,60.45868694444426,60.45868694444426
Afyon,Hocalar,38.580242283688726,29.949283400245346,11.443076923076925,0.0,0.0,10,10.0,23.46019261904763,23.46019261904763
Afyon,Kızılören,38.26199409344205,30.15600167051217,11.443076923076925,0.0,0.0,10,10.0,23.46019261904763,23.46019261904763
Afyon,Merkez,38.7853757954168,30.536704399875862,10.588384615384616,0.0,0.0,10,10.0,41.4616528174603,41.4616528174603
Afyon,Sandıklı,38.45140090878305,30.180279604536608,11.443076923076925,0.0,0.0,10,10.0,23.46019261904763,23.46019261904763
Afyon,Sincanlı,38.74613600480689,30.254204005116105,11.443076923076925,0.0,0.75,10,9.25,23.46019261904763,22.71019261904763
Afyon,Sultandağı,38.607430862405145,31.414961415445124,11.299076923076925,0.0,0.0,10,10.0,30.512534801587336,30.512534801587336
Afyon,Çay,38.52005533784735,30.98298966884557,11.299076923076925,0.0,0.0,10,10.0,30.512534801587336,30.512534801587336
Afyon,Çobanlar,38.68505194274979,30.8276650025872,11.100923076923078,0.0,0.0,10,10.0,51.03596829365084,51.03596829365084
Afyon,İhsaniye,39.02955785163041,30.469943449400898,10.588384615384616,0.0,0.0,10,10.0,41.4616528174603,41.4616528174603
Afyon,İscehisar,38.92538934713586,30.78299356919825,10.588384615384616,0.0,0.0,10,10.0,41.4616528174603,41.4616528174603
Afyon,Şuhut,38.45333192690092,30.60005269792468,11.100923076923078,0.0,0.0,10,10.0,51.03596829365084,51.03596829365084
Agri,Diyadin,39.47784231622719,43.61747733837812,7.122692307692307,0.0,0.0,10,10.0,67.91941119047608,67.91941119047608
