province_name,district_name,lat,lon,avg_temp,avg_rain,treecover_pct,potential_treecover_pct,missing_treecover_pct
Adana,Aladağ,37.66664161425269,35.387781159274844,16.739615384615384,0.0,54.58,10,0.0
Adana,Ceyhan,37.01188762408269,35.768197774868256,19.804076923076924,0.0,0.05,10,9.95
Adana,Feke,37.87149501654729,35.82175412166473,10.716615384615384,0.0,15.07,10,0.0
Adana,Karaisali,37.25914702378393,35.14288805669741,12.239538461538462,0.0,8.33,10,1.67
Adana,Karataş,36.6759794496345,35.229132124491095,21.450076923076924,0.0,0.0,5,5.0
Adana,Kozan,37.53681464962676,35.840943226510305,16.739615384615384,0.0,0.59,10,9.41
Adana,Pozantı,37.54648277891881,34.98430156975578,12.239538461538462,0.0,4.73,10,5.27
Adana,Saimbeyli,37.98900752876872,36.13436444012252,10.406,0.0,43.16,10,0.0
Adana,Seyhan,36.91276285694181,35.17898024007434,19.747307692307693,0.0,0.0,10,10.0
Adana,Tufanbeyli,38.27092830135996,36.2612424860836,8.506923076923076,0.0,0.0,10,10.0
Adana,Yumurtalık,36.710570748576025,35.61362903076997,21.224,0.0,0.23,5,4.77
Adana,Yüreğir,36.9702209447011,35.42196564547398,19.804076923076924,0.0,0.0,10,10.0
Adana,İmamoğlu,37.259450755722085,35.60816661152585,16.739615384615384,0.0,0.0,10,10.0
Adiyaman,Besni,37.58098423464698,37.9021105320502,17.38576923076923,0.0,0.0,10,10.0
Adiyaman,Gerger,38.02434275066536,38.99318871698758,13.909692307692309,0.0,0.0,10,10.0
Adiyaman,Gölbaşı,37.69827262449037,37.59807051058772,15.63653846153846,0.0,0.0,10,10.0
Adiyaman,Kahta,37.79951359683125,38.694339858723005,13.909692307692309,0.0,0.0,10,10.0
Adiyaman,Merkez,37.70841704317855,38.261284947937625,17.38576923076923,0.0,0.0,10,10.0
Adiyaman,Samsat,37.56570577274376,38.49118352181627,17.808384615384618,0.0,0.0,10,10.0
Adiyaman,Sincik,38.040170204711785,38.55041496078256,13.909692307692309,0.0,0.23,10,9.77
Adiyaman,Tut,37.79475172793583,37.9227827564413,11.455461538461538,0.0,0.07,10,9.93
Adiyaman,Çelikhan,38.05858677551078,38.32101454195479,11.455461538461538,0.0,0.0,10,10.0
Afyon,Bayat,39.025107370010666,30.925424100508373,10.588384615384616,0.0,0.0,10,10.0
Afyon,Başmakçı,37.867487273557046,30.009480465472784,13.137692307692308,0.0,0.56,10,9.44
Afyon,Bolvadin,38.77491246418936,31.219356309714343,11.632307692307691,0.0,0.0,10,10.0
Afyon,Dazkırı,37.91931503587757,29.78324080300375,13.137692307692308,0.0,0.0,10,10.0
Afyon,Dinar,38.13963427758678,30.25053730612807,13.137692307692308,0.0,0.0,10,10.0
