province_name,district_name,trees_needed,treecover_pct,potential_treecover_pct_model,treecover_gap_pct
Adana,Aladağ,0,54.58,5.2372200666637525,0.0
Adana,Ceyhan,8240123,0.05,10.968685380559878,10.918685380559877
Adana,Feke,0,15.07,1.902584690147867,0.0
Adana,Karaisali,0,8.33,1.2017344742923581,0.0
Adana,Karataş,2857708,0.0,12.63979289789446,12.63979289789446
Adana,Kozan,4785105,0.59,4.883428235644501,4.293428235644501
Adana,Pozantı,0,4.73,0.0,0.0
Adana,Saimbeyli,0,43.16,0.7584095027871527,0.0
Adana,Seyhan,3774417,0.0,12.14484289949712,12.14484289949712
Adana,Tufanbeyli,1183466,0.0,2.044236060684275,2.044236060684275
Adana,Yumurtalık,2953775,0.23,12.74039918329962,12.51039918329962
Adana,Yüreğir,8730851,0.0,11.509174148399289,11.509174148399289
Adana,İmamoğlu,769312,0.0,5.127459807518592,5.127459807518592
Adiyaman,Besni,1825885,0.0,4.103877206020874,4.103877206020874
Adiyaman,Gerger,390087,0.0,0.9324422335327378,0.9324422335327378
Adiyaman,Gölbaşı,933731,0.0,2.752862808092674,2.752862808092674
Adiyaman,Kahta,604238,0.0,0.9175193332778434,0.9175193332778434
Adiyaman,Merkez,2797118,0.0,3.5121517067709993,3.5121517067709993
Adiyaman,Samsat,462041,0.0,3.0531345833678456,3.0531345833678456
Adiyaman,Sincik,303319,0.23,1.1421331746051657,0.9121331746051657
Adiyaman,Tut,231979,0.07,1.002783588667493,0.9327835886674929
Adiyaman,Çelikhan,0,0.0,0.0,0.0
Afyon,Bayat,2273050,0.0,6.791637198486288,6.791637198486288
Afyon,Başmakçı,1631868,0.56,6.460978519260074,5.900978519260073
Afyon,Bolvadin,2898500,0.0,5.015818242628185,5.015818242628185
Afyon,Dazkırı,616756,0.0,3.4546522245539344,3.4546522245539344
Afyon,Dinar,1948247,0.0,2.8541459560219145,2.8541459560219145
Afyon,Emirdağ,6029881,0.0,6.3931857685732005,6.3931857685732005
Afyon,Evciler,69613,0.0,0.9562068266593903,0.9562068266593903
Afyon,Hocalar,674395,0.0,2.1044250679536205,2.1044250679536205
Afyon,Kızılören,196871,0.0,1.6442402074728568,1.6442402074728568
Afyon,Merkez,241657,0.0,0.46770930682922324,0.46770930682922324
Afyon,Sandıklı,350771,0.0,0.5839063782614443,0.5839063782614443
Afyon,Sincanlı,877129,0.75,2.7928948747651665,2.0428948747651665
Afyon,Sultandağı,3150621,0.0,7.5993909969416364,7.5993909969416364
Afyon,Çay,3232301,0.0,7.5993909969416364,7.5993909969416364
Afyon,Çobanlar,1283692,0.0,6.625197107246442,6.625197107246442
Afyon,İhsaniye,1167997,0.0,2.7247299351631,2.7247299351631
Afyon,İscehisar,1854836,0.0,7.180681470110821,7.180681470110821
Afyon,Şuhut,1033431,0.0,1.7226947513573345,1.7226947513573345
Agri,Diyadin,0,0.0,0.0,0.0
Agri,Doğubeyazıt,0,0.0,0.0,0.0
Agri,Eleşkirt,0,0.0,0.0,0.0
Agri,Hamur,0,0.0,0.0,0.0
Agri,Merkez,0,0.0,0.0,0.0
Agri,Patnos,0,0.0,0.0,0.0
Agri,Taşlıçay,0,0.0,0.0,0.0
Agri,Tutak,0,1.37,0.0,0.0
Aksaray,Ağaçören,1042098,0.0,3.0676183830449295,3.0676183830449295
Aksaray,Eskil,0,0.0,0.0,0.0
Aksaray,Gülağaç,353289,0.0,4.340364940995547,4.340364940995547
Aksaray,Güzelyurt,317353,0.0,4.224167869563323,4.224167869563323
Aksaray,Merkez,7051614,0.0,3.373712625723336,3.373712625723336
Aksaray,Ortaköy,136617,0.0,0.3840603844218704,0.3840603844218704
Aksaray,Sarıyahşi,0,0.0,0.0,0.0
Amasya,Göynücek,0,12.33,1.7263214464517513,0.0
Amasya,Gümüşhacıköy,5268194,0.0,13.878391864007982,13.878391864007982
Amasya,Hamamözü,0,81.68,45.81208094868144,0.0
Amasya,Merkez,13821844,0.0,15.522799932599105,15.522799932599105
Amasya,Merzifon,5899235,0.0,11.648754438359537,11.648754438359537
Amasya,Suluova,8580131,0.0,31.48509709857807,31.48509709857807
Amasya,Taşova,5838687,0.0,11.029418594596757,11.029418594596757
Ankara,Akyurt,417961,0.0,3.518154755604117,3.518154755604117
Ankara,Altındağ,369601,0.0,5.271919513962972,5.271919513962972
Ankara,Ayaş,0,0.0,0.0,0.0
Ankara,Bala,0,0.0,0.0,0.0
Ankara,Beypazarı,7325813,0.0,7.793160560264894,7.793160560264894
Ankara,Elmadağ,480395,0.91,2.144014711163444,1.2340147111634439
Ankara,Etimesgut,0,0.0,0.0,0.0
Ankara,Evren,15575,0.0,0.08281514675880147,0.08281514675880147
Ankara,Gölbaşı,392056,0.0,1.0038319743023654,1.0038319743023654
Ankara,Güdül,1627069,0.0,8.156658964712088,8.156658964712088
Ankara,Haymana,0,0.0,0.0,0.0
Ankara,Kalecik,0,0.0,0.0,0.0
Ankara,Kazan,321521,0.0,1.5475840913725176,1.5475840913725176
Ankara,Keçiören,750774,0.0,8.226852112198761,8.226852112198761
Ankara,Kızılcahamam,0,23.4,3.7199316646723344,0.0
Ankara,Mamak,232812,0.0,1.3713493664489527,1.3713493664489527
Ankara,Nallıhan,2016953,6.68,8.457415555863166,1.7774155558631666
Ankara,Polatlı,6663526,0.0,3.944387299348346,3.944387299348346
Ankara,Sincan,225699,0.0,1.2613075141584218,1.2613075141584218
Ankara,Yenimahalle,377358,0.0,1.3928762459268997,1.3928762459268997
Ankara,Çamlıdere,3763859,2.07,20.640164631165003,18.570164631165003
