province_name,district_name,trees_needed,treecover_pct,model_potential_treecover_pct,treecover_gap_pct
Adana,Aladağ,0,54.58,41.043211198724244,0.0
Adana,Ceyhan,28660272,0.05,38.02667557145793,37.97667557145793
Adana,Feke,4887686,15.07,21.565606711883156,6.4956067118831555
Adana,Karaisali,14441959,8.33,24.96918611184006,16.63918611184006
Adana,Karataş,8597384,0.0,38.02667557145793,38.02667557145793
Adana,Kozan,45085855,0.59,41.043211198724244,40.45321119872424
Adana,Pozantı,12033294,4.73,24.96918611184006,20.23918611184006
Adana,Saimbeyli,2497387,43.16,47.36567432879811,4.205674328798111
Adana,Seyhan,11818063,0.0,38.02667557145793,38.02667557145793
Adana,Tufanbeyli,24683580,0.0,42.63668216267263,42.63668216267263
Adana,Yumurtalık,8924005,0.23,38.02667557145793,37.79667557145793
Adana,Yüreğir,28847007,0.0,38.02667557145793,38.02667557145793
Adana,İmamoğlu,6158027,0.0,41.043211198724244,41.043211198724244
Adiyaman,Besni,16918720,0.0,38.02667557145793,38.02667557145793
Adiyaman,Gerger,28845073,0.0,68.94964681143338,68.94964681143338
Adiyaman,Gölbaşı,10441238,0.0,30.783264461999867,30.783264461999867
Adiyaman,Kahta,45407202,0.0,68.94964681143338,68.94964681143338
Adiyaman,Merkez,30284886,0.0,38.02667557145793,38.02667557145793
Adiyaman,Samsat,5754701,0.0,38.02667557145793,38.02667557145793
Adiyaman,Sincik,22851900,0.23,68.94964681143338,68.71964681143338
Adiyaman,Tut,6589396,0.07,26.565824362050865,26.495824362050865
Adiyaman,Çelikhan,8508540,0.0,26.565824362050865,26.565824362050865
Afyon,Bayat,14410763,0.0,43.057864308157995,43.057864308157995
Afyon,Başmakçı,18376557,0.56,67.01125642117886,66.45125642117885
Afyon,Bolvadin,28974481,0.0,50.13997794925729,50.13997794925729
Afyon,Dazkırı,11963462,0.0,67.01125642117886,67.01125642117886
Afyon,Dinar,45742057,0.0,67.01125642117886,67.01125642117886
Afyon,Emirdağ,47290677,0.0,50.13997794925729,50.13997794925729
Afyon,Evciler,4878476,0.0,67.01125642117886,67.01125642117886
Afyon,Hocalar,8513421,0.0,26.565824362050865,26.565824362050865
Afyon,Kızılören,3180820,0.0,26.565824362050865,26.565824362050865
Afyon,Merkez,22247227,0.0,43.057864308157995,43.057864308157995
Afyon,Sandıklı,15958908,0.0,26.565824362050865,26.565824362050865
Afyon,Sincanlı,11084173,0.75,26.565824362050865,25.815824362050865
Afyon,Sultandağı,11452372,0.0,27.623461715884698,27.623461715884698
Afyon,Çay,11749276,0.0,27.623461715884698,27.623461715884698
Afyon,Çobanlar,10446081,0.0,53.912723684426524,53.912723684426524
Afyon,İhsaniye,18457416,0.0,43.057864308157995,43.057864308157995
Afyon,İscehisar,11122240,0.0,43.057864308157995,43.057864308157995
Afyon,Şuhut,32341821,0.0,53.912723684426524,53.912723684426524
Agri,Diyadin,23293148,0.0,42.94640592711692,42.94640592711692
Agri,Doğubeyazıt,50374495,0.0,42.94640592711692,42.94640592711692
Agri,Eleşkirt,25136653,0.0,37.99467201318694,37.99467201318694
Agri,Hamur,15812061,0.0,37.99467201318694,37.99467201318694
Agri,Merkez,28522104,0.0,42.94640592711692,42.94640592711692
Agri,Patnos,16427628,0.0,29.25803922007553,29.25803922007553
Agri,Taşlıçay,13898172,0.0,37.99467201318694,37.99467201318694
Agri,Tutak,45325420,1.37,60.56570783997703,59.19570783997703
Aksaray,Ağaçören,22932594,0.0,67.5065640809194,67.5065640809194
Aksaray,Eskil,16269040,0.0,24.96918611184006,24.96918611184006
Aksaray,Gülağaç,4073336,0.0,50.04333290271219,50.04333290271219
Aksaray,Güzelyurt,1620180,0.0,21.565606711883156,21.565606711883156
Aksaray,Merkez,141099813,0.0,67.5065640809194,67.5065640809194
Aksaray,Ortaköy,17801225,0.0,50.04333290271219,50.04333290271219
Aksaray,Sarıyahşi,14553431,0.0,65.63595459584266,65.63595459584266
Amasya,Göynücek,8035093,12.33,30.812464632170666,18.482464632170668
Amasya,Gümüşhacıköy,19092690,0.0,50.29728424135734,50.29728424135734
Amasya,Hamamözü,0,81.68,50.29728424135734,0.0
Amasya,Merkez,27436099,0.0,30.812464632170666,30.812464632170666
Amasya,Merzifon,27302820,0.0,53.912723684426524,53.912723684426524
Amasya,Suluova,14691975,0.0,53.912723684426524,53.912723684426524
Amasya,Taşova,12847645,0.0,24.269506898369173,24.269506898369173
Ankara,Akyurt,2562020,0.0,21.565606711883156,21.565606711883156
Ankara,Altındağ,1511910,0.0,21.565606711883156,21.565606711883156
Ankara,Ayaş,16564956,0.0,29.47165316679401,29.47165316679401
Ankara,Bala,49058133,0.0,50.13997794925729,50.13997794925729
Ankara,Beypazarı,61699837,0.0,65.63595459584266,65.63595459584266
Ankara,Elmadağ,8041105,0.91,21.565606711883156,20.655606711883156
Ankara,Etimesgut,783964,0.0,29.47165316679401,29.47165316679401
Ankara,Evren,12343730,0.0,65.63595459584266,65.63595459584266
Ankara,Gölbaşı,19582640,0.0,50.13997794925729,50.13997794925729
Ankara,Güdül,5878929,0.0,29.47165316679401,29.47165316679401
Ankara,Haymana,44912911,0.0,30.812464632170666,30.812464632170666
Ankara,Kalecik,22045503,0.0,30.812464632170666,30.812464632170666
Ankara,Kazan,6122940,0.0,29.47165316679401,29.47165316679401
Ankara,Keçiören,1968055,0.0,21.565606711883156,21.565606711883156
Ankara,Kızılcahamam,17653716,23.4,42.63668216267263,19.23668216267263
Ankara,Mamak,3661167,0.0,21.565606711883156,21.565606711883156
