province_name,district_name,lat,lon,treecover_pct
Adana,Aladağ,37.66664161425269,35.387781159274844,54.58
Adana,Ceyhan,37.01188762408269,35.768197774868256,0.05
Adana,Feke,37.87149501654729,35.82175412166473,15.07
Adana,İmamoğlu,37.259450755722085,35.60816661152585,0.0
Adana,Karaisali,37.25914702378393,35.14288805669741,8.33
Adana,Karataş,36.6759794496345,35.229132124491095,0.0
Adana,Kozan,37.53681464962676,35.840943226510305,0.59
Adana,Pozantı,37.54648277891881,34.98430156975578,4.73
Adana,Saimbeyli,37.98900752876872,36.13436444012252,43.16
Adana,Seyhan,36.91276285694181,35.17898024007434,0.0
Adana,Tufanbeyli,38.27092830135996,36.2612424860836,0.0
Adana,Yumurtalık,36.710570748576025,35.61362903076997,0.23
Adana,Yüreğir,36.9702209447011,35.42196564547398,0.0
Adiyaman,Besni,37.58098423464698,37.9021105320502,0.0
Adiyaman,Çelikhan,38.05858677551078,38.32101454195479,0.0
Adiyaman,Gerger,38.02434275066536,38.99318871698758,0.0
Adiyaman,Gölbaşı,37.69827262449037,37.59807051058772,0.0
Adiyaman,Kahta,37.79951359683125,38.694339858723005,0.0
Adiyaman,Merkez,37.70841704317855,38.261284947937625,0.0
Adiyaman,Samsat,37.56570577274376,38.49118352181627,0.0
Adiyaman,Sincik,38.040170204711785,38.55041496078256,0.23
Adiyaman,Tut,37.79475172793583,37.9227827564413,0.07
Afyon,Başmakçı,37.867487273557046,30.009480465472784,0.56
Afyon,Bayat,39.025107370010666,30.925424100508373,0.0
Afyon,Bolvadin,38.77491246418936,31.219356309714343,0.0
Afyon,Çay,38.52005533784735,30.98298966884557,0.0
Afyon,Çobanlar,38.68505194274979,30.8276650025872,0.0
Afyon,Dazkırı,37.91931503587757,29.78324080300375,0.0
Afyon,Dinar,38.13963427758678,30.25053730612807,0.0
Afyon,Emirdağ,39.02826857126863,31.340214629467827,0.0
Afyon,Evciler,38.03260230243983,29.871175212743637,0.0
Afyon,Hocalar,38.580242283688726,29.949283400245346,0.0
Afyon,İhsaniye,39.02955785163041,30.469943449400898,0.0
Afyon,İscehisar,38.92538934713586,30.78299356919825,0.0
Afyon,Kızılören,38.26199409344205,30.15600167051217,0.0
Afyon,Merkez,38.7853757954168,30.536704399875862,0.0
Afyon,Sandıklı,38.45140090878305,30.180279604536608,0.0
Afyon,Sincanlı,38.74613600480689,30.254204005116105,0.75
Afyon,Şuhut,38.45333192690092,30.60005269792468,0.0
Afyon,Sultandağı,38.607430862405145,31.414961415445124,0.0
Agri,Diyadin,39.47784231622719,43.61747733837812,0.0
Agri,Doğubeyazıt,39.57772620465168,44.0361939897038,0.0
Agri,Eleşkirt,39.82510285619879,42.691230264416106,0.0
Agri,Hamur,39.50133553495088,43.08810174876008,0.0
Agri,Merkez,39.81191794435278,43.17243541088944,0.0
Agri,Patnos,39.21661251611671,42.91331429708272,0.0
Agri,Taşlıçay,39.58959087812761,43.38477277992072,0.0
Agri,Tutak,39.50821002149996,42.72018174758034,1.37
Aksaray,Ağaçören,38.65139432761589,33.840663178323666,0.0
Aksaray,Eskil,38.21935992680877,33.422025001399746,0.0
Aksaray,Gülağaç,38.36295091512031,34.320609678027004,0.0
Aksaray,Güzelyurt,38.23092826804516,34.32282038107879,0.0
Aksaray,Merkez,38.284408606216736,33.86553589635082,0.0
Aksaray,Ortaköy,38.61718846424526,34.13302931631731,0.0
Aksaray,Sarıyahşi,38.85773237788003,34.037252769632495,0.0
Amasya,Göynücek,40.35867238447269,35.538375598933854,12.33
Amasya,Gümüşhacıköy,40.909698544032864,35.21062233479086,0.0
Amasya,Hamamözü,40.76004829681186,35.12070432415393,81.68
Amasya,Merkez,40.608305141592574,35.897315177085645,0.0
Amasya,Merzifon,40.81784169512704,35.45417707392841,0.0
Amasya,Suluova,40.77809402019211,35.74691043699064,0.0
Amasya,Taşova,40.7649725578992,36.28549777548066,0.0
Ankara,Akyurt,40.06083150250431,33.16136031074967,0.0
Ankara,Altındağ,39.983391752880046,32.99614538832616,0.0
Ankara,Ayaş,40.00834633116306,32.291128093221246,0.0
Ankara,Bala,39.50941940602818,33.09593000372795,0.0
Ankara,Beypazarı,40.14862692150746,31.92869130103712,0.0
Ankara,Çamlıdere,40.46454722820688,32.44177848760462,2.07
Ankara,Çankaya,39.87827862418089,32.83355417906906,0.0
Ankara,Çubuk,40.26714035972231,33.023156870220085,0.0
Ankara,Elmadağ,39.877574921492126,33.30015144879477,0.91
Ankara,Etimesgut,39.910108075926935,32.62595591899054,0.0
Ankara,Evren,38.97881429988725,33.822783442093375,0.0
Ankara,Gölbaşı,39.64262116121575,32.81282201919034,0.0
Ankara,Güdül,40.214076700269146,32.241936758790615,0.0
Ankara,Haymana,39.3185192771997,32.59356523139481,0.0
Ankara,Kalecik,40.15854406716938,33.4550388144467,0.0
Ankara,Kazan,40.14352830725688,32.649665570911395,0.0
Ankara,Keçiören,40.05386004648713,32.8264983455073,0.0
Ankara,Kızılcahamam,40.44366479041166,32.66369741089628,23.4
Ankara,Mamak,39.8676408733446,33.0102161889436,0.0
Ankara,Nallıhan,40.1817599533106,31.31642733462549,6.68
Ankara,Polatlı,39.51473840231554,32.16931883763952,0.0
Ankara,Sincan,39.95395828425514,32.50073789721857,0.0
Ankara,Şultan Koçhisar,38.95369175839502,33.54901653806994,0.0
Ankara,Yenimahalle,39.88426464534916,32.656541104633305,0.0
Antalya,Akseki,37.05337569574966,31.847930223531677,0.0
Antalya,Alanya,36.58755447429034,32.20195394994232,12.96
