province_name,district_name,lat,lon
Adana,Aladağ,37.66664161425269,35.387781159274844
Adana,Ceyhan,37.01188762408269,35.768197774868256
Adana,Feke,37.87149501654729,35.82175412166473
Adana,İmamoğlu,37.259450755722085,35.60816661152585
Adana,Karaisali,37.25914702378393,35.14288805669741
Adana,Karataş,36.675979449634504,35.229132124491095
Adana,Kozan,37.53681464962676,35.840943226510305
Adana,Pozantı,37.54648277891881,34.98430156975578
Adana,Saimbeyli,37.989007528768724,36.13436444012252
Adana,Seyhan,36.912762856941804,35.17898024007434
Adana,Tufanbeyli,38.27092830135996,36.261242486083596
Adana,Yumurtalık,36.710570748576025,35.61362903076997
Adana,Yüreğir,36.9702209447011,35.42196564547398
Adiyaman,Besni,37.580984234646984,37.9021105320502
Adiyaman,Çelikhan,38.05858677551078,38.32101454195479
Adiyaman,Gerger,38.02434275066536,38.99318871698758
Adiyaman,Gölbaşı,37.69827262449037,37.59807051058772
Adiyaman,Kahta,37.799513596831254,38.694339858723005
Adiyaman,Merkez,37.70841704317855,38.261284947937625
Adiyaman,Samsat,37.56570577274376,38.49118352181627
Adiyaman,Sincik,38.040170204711785,38.55041496078256
Adiyaman,Tut,37.79475172793583,37.9227827564413
Afyon,Başmakçı,37.867487273557046,30.009480465472784
Afyon,Bayat,39.025107370010666,30.925424100508373
Afyon,Bolvadin,38.774912464189356,31.219356309714346
Afyon,Çay,38.52005533784735,30.98298966884557
Afyon,Çobanlar,38.68505194274979,30.8276650025872
Afyon,Dazkırı,37.91931503587757,29.78324080300375
Afyon,Dinar,38.13963427758678,30.25053730612807
Afyon,Emirdağ,39.028268571268626,31.340214629467827
Afyon,Evciler,38.03260230243983,29.871175212743633
Afyon,Hocalar,38.580242283688726,29.949283400245342
Afyon,İhsaniye,39.02955785163041,30.469943449400898
Afyon,İscehisar,38.92538934713586,30.782993569198254
Afyon,Kızılören,38.26199409344205,30.156001670512172
Afyon,Merkez,38.7853757954168,30.536704399875866
Afyon,Sandıklı,38.45140090878305,30.180279604536608
Afyon,Sincanlı,38.74613600480689,30.254204005116105
Afyon,Şuhut,38.45333192690092,30.600052697924678
Afyon,Sultandağı,38.607430862405145,31.414961415445124
Agri,Diyadin,39.47784231622719,43.61747733837812
Agri,Doğubeyazıt,39.57772620465168,44.0361939897038
Agri,Eleşkirt,39.82510285619879,42.691230264416106
Agri,Hamur,39.50133553495088,43.08810174876008
Agri,Merkez,39.81191794435278,43.17243541088944
Agri,Patnos,39.216612516116705,42.91331429708272
Agri,Taşlıçay,39.58959087812761,43.38477277992072
Agri,Tutak,39.50821002149996,42.72018174758034
Aksaray,Ağaçören,38.65139432761589,33.840663178323666
Aksaray,Eskil,38.21935992680877,33.422025001399746
Aksaray,Gülağaç,38.36295091512031,34.320609678027004
Aksaray,Güzelyurt,38.230928268045155,34.32282038107879
Aksaray,Merkez,38.284408606216736,33.86553589635082
Aksaray,Ortaköy,38.61718846424526,34.13302931631731
Aksaray,Sarıyahşi,38.85773237788003,34.037252769632495
Amasya,Göynücek,40.35867238447269,35.538375598933854
Amasya,Gümüşhacıköy,40.909698544032864,35.21062233479086
Amasya,Hamamözü,40.76004829681186,35.12070432415393
Amasya,Merkez,40.608305141592574,35.897315177085645
Amasya,Merzifon,40.817841695127036,35.45417707392841
Amasya,Suluova,40.77809402019211,35.74691043699064
Amasya,Taşova,40.7649725578992,36.285497775480664
Ankara,Akyurt,40.06083150250431,33.16136031074967
Ankara,Altındağ,39.983391752880046,32.99614538832616
Ankara,Ayaş,40.00834633116306,32.291128093221246
Ankara,Bala,39.50941940602818,33.09593000372795
Ankara,Beypazarı,40.148626921507464,31.928691301037116
Ankara,Çamlıdere,40.46454722820688,32.44177848760462
Ankara,Çankaya,39.87827862418089,32.83355417906906
Ankara,Çubuk,40.267140359722305,33.023156870220085
Ankara,Elmadağ,39.877574921492126,33.30015144879477
Ankara,Etimesgut,39.910108075926935,32.62595591899054
Ankara,Evren,38.97881429988725,33.822783442093375
Ankara,Gölbaşı,39.64262116121575,32.81282201919034
Ankara,Güdül,40.214076700269146,32.241936758790615
Ankara,Haymana,39.3185192771997,32.59356523139481
Ankara,Kalecik,40.15854406716938,33.4550388144467
Ankara,Kazan,40.14352830725688,32.649665570911395
Ankara,Keçiören,40.05386004648713,32.8264983455073
Ankara,Kızılcahamam,40.44366479041166,32.663697410896276
Ankara,Mamak,39.8676408733446,33.0102161889436
Ankara,Nallıhan,40.1817599533106,31.31642733462549
Ankara,Polatlı,39.514738402315544,32.169318837639516
Ankara,Sincan,39.95395828425514,32.50073789721857
Ankara,Şultan Koçhisar,38.95369175839502,33.54901653806994
Ankara,Yenimahalle,39.884264645349155,32.656541104633305
Antalya,Akseki,37.05337569574966,31.847930223531673
Antalya,Alanya,36.58755447429034,32.20195394994232
Antalya,Elmalı,36.736003924888614,29.888323981747423
Antalya,Finike,36.433421276640615,30.030913037455424
Antalya,Gazipaşa,36.324611298064006,32.48116908352812
Antalya,Gündoğmuş,36.82195222023363,32.07490729446956
Antalya,İbradi,37.14851236840038,31.562885254674363
Antalya,Kale,36.27521195349218,29.91074540485377
Antalya,Kaş,36.380762183330084,29.598792609594234
Antalya,Kemer,36.53692594043173,30.47499352810554
Antalya,Korkuteli,37.052451088405626,30.17773457501594
Antalya,Kumluca,36.52403466324749,30.285552538674835
Antalya,Manavgat,37.02317371687421,31.369192334049977
Antalya,Merkez,36.9786028896458,30.636246147678914
Antalya,Serik,37.09598692978779,31.015402418068366
Ardahan,Çıldır,41.15692433888374,43.096649142856286
