province_name,district_name,lat,lon,avg_temp_10yr,avg_precip_10yr,temp_std_10yr,precip_std_10yr,temp_min_10yr,temp_max_10yr
Adana,Aladağ,37.66664161425269,35.387781159274844,16.739615384615384,0.0,0.3626502726454723,0.0,16.216153846153848,17.34769230769231
Adana,Ceyhan,37.01188762408269,35.768197774868256,19.804076923076924,0.0,0.3788803273232987,0.0,19.26153846153846,20.400769230769228
Adana,Feke,37.87149501654729,35.82175412166473,10.716615384615384,0.0,0.4393280087551804,0.0,10.156153846153845,11.414615384615384
Adana,Karaisali,37.25914702378393,35.14288805669741,12.239538461538462,0.0,0.41761181954198856,0.0,11.707692307692307,12.945384615384615
Adana,Karataş,36.6759794496345,35.229132124491095,21.450076923076924,0.0,0.33200513489846545,0.0,21.10230769230769,22.021538461538462
Adana,Kozan,37.53681464962676,35.840943226510305,16.739615384615384,0.0,0.3626502726454723,0.0,16.216153846153848,17.34769230769231
Adana,Pozantı,37.54648277891881,34.98430156975578,12.239538461538462,0.0,0.41761181954198856,0.0,11.707692307692307,12.945384615384615
Adana,Saimbeyli,37.98900752876872,36.13436444012252,10.406,0.0,0.42618189299542003,0.0,9.826923076923077,11.113846153846152
Adana,Seyhan,36.91276285694181,35.17898024007434,19.747307692307693,0.0,0.36655606185490563,0.0,19.256923076923076,20.383076923076924
Adana,Tufanbeyli,38.27092830135996,36.2612424860836,8.506923076923076,0.0,0.4762149416087653,0.0,7.900769230769232,9.386153846153846
Adana,Yumurtalık,36.710570748576025,35.61362903076997,21.224,0.0,0.31879968834461786,0.0,20.861538461538462,21.78923076923077
Adana,Yüreğir,36.9702209447011,35.42196564547398,19.804076923076924,0.0,0.3788803273232987,0.0,19.26153846153846,20.400769230769228
Adana,İmamoğlu,37.259450755722085,35.60816661152585,16.739615384615384,0.0,0.3626502726454723,0.0,16.216153846153848,17.34769230769231
Adiyaman,Besni,37.58098423464698,37.9021105320502,17.38576923076923,0.0,0.3804321654101178,0.0,16.89,17.93307692307692
Adiyaman,Gerger,38.02434275066536,38.99318871698758,13.909692307692307,0.0,0.43160026676261387,0.0,13.356153846153846,14.593076923076923
Adiyaman,Gölbaşı,37.69827262449037,37.59807051058772,15.63653846153846,0.0,0.38148180755280314,0.0,15.093846153846155,16.186153846153847
Adiyaman,Kahta,37.79951359683125,38.694339858723005,13.909692307692307,0.0,0.43160026676261387,0.0,13.356153846153846,14.593076923076923
Adiyaman,Merkez,37.70841704317855,38.261284947937625,17.38576923076923,0.0,0.3804321654101178,0.0,16.89,17.93307692307692
Adiyaman,Samsat,37.56570577274376,38.49118352181627,17.808384615384618,0.0,0.39877548434739857,0.0,17.216923076923077,18.402307692307694
Adiyaman,Sincik,38.040170204711785,38.55041496078256,13.909692307692307,0.0,0.43160026676261387,0.0,13.356153846153846,14.593076923076923
Adiyaman,Tut,37.79475172793583,37.9227827564413,11.455461538461538,0.0,0.42849252600123794,0.0,10.973846153846154,12.129999999999999
Adiyaman,Çelikhan,38.05858677551078,38.32101454195479,11.455461538461538,0.0,0.42849252600123794,0.0,10.973846153846154,12.129999999999999
Afyon,Bayat,39.025107370010666,30.925424100508373,10.588384615384616,0.0,0.6373019487126997,0.0,9.506923076923076,11.572307692307692
Afyon,Başmakçı,37.867487273557046,30.009480465472784,13.137692307692308,0.0,0.5328454375848874,0.0,12.118461538461538,13.987692307692308
Afyon,Bolvadin,38.77491246418936,31.219356309714343,11.632307692307693,0.0,0.6220968338956027,0.0,10.606923076923076,12.586923076923076
Afyon,Dazkırı,37.91931503587757,29.78324080300375,13.137692307692308,0.0,0.5328454375848874,0.0,12.118461538461538,13.987692307692308
Afyon,Dinar,38.13963427758678,30.25053730612807,13.137692307692308,0.0,0.5328454375848874,0.0,12.118461538461538,13.987692307692308
Afyon,Emirdağ,39.02826857126863,31.340214629467827,11.632307692307693,0.0,0.6220968338956027,0.0,10.606923076923076,12.586923076923076
Afyon,Evciler,38.03260230243983,29.87117521274364,13.137692307692308,0.0,0.5328454375848874,0.0,12.118461538461538,13.987692307692308
Afyon,Hocalar,38.580242283688726,29.949283400245346,11.443076923076923,0.0,0.5874811676028163,0.0,10.34,12.357692307692307
Afyon,Kızılören,38.26199409344205,30.15600167051217,11.443076923076923,0.0,0.5874811676028163,0.0,10.34,12.357692307692307
Afyon,Merkez,38.7853757954168,30.536704399875862,10.588384615384616,0.0,0.6373019487126997,0.0,9.506923076923076,11.572307692307692
Afyon,Sandıklı,38.45140090878305,30.180279604536608,11.443076923076923,0.0,0.5874811676028163,0.0,10.34,12.357692307692307
Afyon,Sincanlı,38.74613600480689,30.254204005116105,11.443076923076923,0.0,0.5874811676028163,0.0,10.34,12.357692307692307
Afyon,Sultandağı,38.607430862405145,31.414961415445124,11.299076923076923,0.0,0.6000675833074879,0.0,10.335384615384616,12.23076923076923
Afyon,Çay,38.52005533784735,30.98298966884557,11.299076923076923,0.0,0.6000675833074879,0.0,10.335384615384616,12.23076923076923
Afyon,Çobanlar,38.68505194274979,30.8276650025872,11.100923076923078,0.0,0.6072150890463353,0.0,10.012307692307692,12.05
Afyon,İhsaniye,39.02955785163041,30.469943449400898,10.588384615384616,0.0,0.6373019487126997,0.0,9.506923076923076,11.572307692307692
Afyon,İscehisar,38.92538934713586,30.78299356919825,10.588384615384616,0.0,0.6373019487126997,0.0,9.506923076923076,11.572307692307692
Afyon,Şuhut,38.45333192690092,30.60005269792468,11.100923076923078,0.0,0.6072150890463353,0.0,10.012307692307692,12.05
